i,t,y1,y2,y3
5002,50.009999999998620,12.547541021641726,4.732881569705597,2.499383924506452
5003,50.019999999998618,12.583030725384779,4.681917639427264,2.346128974006622
5004,50.029999999998616,12.609214485517716,4.623768744293915,2.192967882818685
5005,50.039999999998614,12.626143100987633,4.558498044043604,2.040312725477527
5006,50.049999999998612,12.633919852519114,4.486205565462989,1.888571772271488
5007,50.059999999998610,12.632698897300223,4.407027187794609,1.738146236860440
5008,50.069999999998608,12.622682980473382,4.321133184505511,1.589427170464496
5009,50.079999999998606,12.604120517353296,4.228726356401191,1.442792555196011
5010,50.089999999998604,12.577302114348349,4.130039800082247,1.298604642850986
5011,50.099999999998602,12.542556608071905,4.025334363111817,1.157207577990385
5012,50.109999999998600,12.500246710753627,3.914895842770545,1.018925335762781
5013,50.119999999998598,12.450764355606657,3.799031988799740,.884059996008592
5014,50.129999999998596,12.394525838236010,3.678069372048108,.752890366108278
5015,50.139999999998594,12.331966849593124,3.552350180511145,.625670956141690
5016,50.149999999998592,12.263537492626053,3.422229002035725,.502631301528946
5017,50.159999999998590,12.189697368984094,3.288069649173737,.383975620692613
5018,50.169999999998588,12.110910814326772,3.150242076575743,.269882788627027
5019,50.179999999998586,12.027642351424829,3.009119435217222,.160506601731002
5020,50.189999999998584,11.940352419808372,2.865075300957089,.055976304939242
5021,50.199999999998582,11.849493429689598,2.718481107746710,-.043602650900550
5022,50.209999999998580,11.755506176708284,2.569703808524046,-.138147655343643
5023,50.219999999998578,11.658816643112178,2.419103779697104,-.227597823054989
5024,50.229999999998576,11.559833200624896,2.267032978359802,-.311912751347379
5025,50.239999999998574,11.458944220735221,2.113833355164025,-.391071183855342
5026,50.249999999998572,11.356516089657694,1.959835520221258,-.465069611784493
5027,50.259999999998570,11.252891617889642,1.805357654608890,-.533920841740175
5028,50.269999999998568,11.148388828186018,1.650704656052613,-.597652556286782
5029,50.279999999998566,11.043300100896118,1.496167504154034,-.656305890265962
5030,50.289999999998564,10.937891651915042,1.342022828108675,-.709934042640083
5031,50.299999999998562,10.832403315920528,1.188532658167226,-.758600940342330
5032,50.309999999998560,10.727048605988985,1.035944341068226,-.802379967403281
5033,50.319999999998558,10.622015019991968,.884490599237763,-.841352769563326
5034,50.329999999998556,10.517464564236031,.734389713629504,-.875608141729897
5035,50.339999999998554,10.413534465492130,.585845810582682,-.905241003039757
5036,50.349999999998552,10.310338043736937,.439049233924832,-.930351461965769
5037,50.359999999998550,10.207965719475988,.294176984662441,-.951043971877431
5038,50.369999999998548,10.106486131327616,.151393211915589,-.967426575726637
5039,50.379999999998546,10.005947341519166,.010849740198507,-.979610237077694
5040,50.389999999998544,9.906378108999457,-.127313380328009,-.987708253519433
5041,50.399999999998542,9.807789211933953,-.262967312450994,-.991835747569006
5042,50.409999999998540,9.710174803365378,-.395993869616700,-.992109229479620
5043,50.419999999998538,9.613513785748973,-.526284961518534,-.988646225874787
5044,50.429999999998536,9.517771191876426,-.653742054872092,-.981564967825560
5045,50.439999999998534,9.422899561364016,-.778275655318320,-.970984131841026
5046,50.449999999998532,9.328840303385975,-.899804815118308,-.957022627233373
5047,50.459999999998530,9.235525037678341,-1.018256670125831,-.939799423425901
5048,50.469999999998528,9.142876907022487,-1.133566008451078,-.919433410975759
5049,50.479999999998526,9.050811855447014,-1.245674872262726,-.896043290365472
5050,50.489999999998524,8.959239867271334,-1.354532193315148,-.869747482962421
5051,50.499999999998522,8.868066162866318,-1.460093462030891,-.840664058939567
5052,50.509999999998520,8.777192347641178,-1.562320429312374,-.808910677381459
5053,50.519999999998518,8.686517511296282,-1.661180839696733,-.774604534256230
5054,50.529999999998516,8.595939274824710,-1.756648193999395,-.737862314407563
5055,50.539999999998514,8.505354783116351,-1.848701539210118,-.698800144202303
5056,50.549999999998512,8.414661641332309,-1.937325283104911,-.657533541952467
5057,50.559999999998510,8.323758793488109,-2.022509030813099,-.614177363708644
5058,50.569999999998508,8.232547341924528,-2.104247440425731,-.568845742489702
5059,50.579999999998506,8.140931306566097,-2.182540094644262,-.521652019466599
5060,50.589999999998504,8.048818323079098,-2.257391385441872,-.472708666051577
5061,50.599999999998502,7.956120279251404,-2.328810408738637,-.422127196254421
5062,50.609999999998500,7.862753889131986,-2.396810866170993,-.370018069051374
5063,50.619999999998498,7.768641204693137,-2.461410971160152,-.316490580866897
5064,50.629999999998496,7.673710065016333,-2.522633356648158,-.261652748591124
5065,50.639999999998494,7.577894483254768,-2.580504982068737,-.205611183844614
5066,50.649999999998492,7.481134971891761,-2.635057037347543,-.148470959455123
5067,50.659999999998490,7.383378807093362,-2.686324841977511,-.090335469327359
5068,50.669999999998488,7.284580233242968,-2.734347737484166,-.031306283065405
5069,50.679999999998486,7.184700609042306,-2.779168971877673,.028517003151692
5070,50.689999999998484,7.083708496862622,-2.820835574977644,.089036917837453
5071,50.699999999998482,6.981579697327580,-2.859398223788151,.150158265938561
5072,50.709999999998480,6.878297231400288,-2.894911097388996,.211788279347812
5073,50.719999999998478,6.773851272525833,-2.927431721090376,.273836764492017
5074,50.729999999998476,6.668239031642624,-2.957020799867279,.336216245332523
5075,50.739999999998474,6.561464598115927,-2.983742041343332,.398842100180454
5076,50.749999999998472,6.453538739860635,-3.007661968827914,.461632690819424
5077,50.759999999998470,6.344478666103838,-3.028849725122201,.524509482542370
5078,50.769999999998468,6.234307756387669,-3.047376867997020,.587397153842708
5079,50.779999999998466,6.123055259526806,-3.063317158406202,.650223694649677
5080,50.789999999998464,6.010755966311149,-3.076746342632233,.712920492159861
5081,50.799999999998462,5.897449859781563,-3.087741929665876,.775422403487767
5082,50.809999999998460,5.783181746905213,-3.096382965198013,.837667814534368
5083,50.819999999998458,5.668000875437462,-3.102749803650634,.899598684650301
5084,50.829999999998456,5.551960539681126,-3.106923879695836,.961160576846525
5085,50.839999999998454,5.435117678743078,-3.108987480708166,1.022302673476939
5086,50.849999999998452,5.317532470745568,-3.109023521568617,1.082977777481724
5087,50.859999999998450,5.199267926278308,-3.107115323190075,1.143142299434944
5088,50.869999999998448,5.080389484180989,-3.103346396066564,1.202756230783008
5089,50.879999999998446,4.960964612528334,-3.097800230064683,1.261783103790466
5090,50.889999999998444,4.841062417455091,-3.090560091577969,1.320189938824994
5091,50.899999999998442,4.720753262210663,-3.081708829056196,1.377947179713495
