i,t,y1,y2,y3
50002,50.000999999974169,-3.503180488977370,-1.842935444427772,20.404027750622468
50003,50.001999999974167,-3.443764944013319,-1.803149379215455,20.349230011409595
50004,50.002999999974165,-3.385056330997859,-1.764083811078794,20.294354497956576
50005,50.003999999974162,-3.327054980677668,-1.725730355139468,20.239409725188356
50006,50.004999999974160,-3.269760914335036,-1.688080555781039,20.184403947883791
50007,50.005999999974158,-3.213173852374251,-1.651125894762393,20.129345165653863
50008,50.006999999974155,-3.157293222886493,-1.614857799062812,20.074241127960583
50009,50.007999999974153,-3.102118170184527,-1.579267648461549,20.019099339167241
50010,50.008999999974151,-3.047647563298966,-1.544346782855070,19.963927063611120
50011,50.009999999974148,-2.993880004428215,-1.510086509315348,19.908731330690237
50012,50.010999999974146,-2.940813837334659,-1.476478108892833,19.853518939956114
50013,50.011999999974144,-2.888447155680033,-1.443512843167899,19.798296466205059
50014,50.012999999974141,-2.836777811293292,-1.411181960554778,19.743070264560806
50015,50.013999999974139,-2.785803422364704,-1.379476702362139,19.687846475541853
50016,50.014999999974137,-2.735521381560233,-1.348388308614605,19.632631030107149
50017,50.015999999974134,-2.685928864050659,-1.317908023639651,19.577429654674283
50018,50.016999999974132,-2.637022835450240,-1.288027101424420,19.522247876104640
50019,50.017999999974130,-2.588800059660058,-1.258736810747100,19.467091026650355
50020,50.018999999974127,-2.541257106611526,-1.230028440087577,19.411964248858347
50021,50.019999999974125,-2.494390359905873,-1.201893302322157,19.356872500426928
50022,50.020999999974123,-2.448196024345739,-1.174322739207199,19.301820559010949
50023,50.021999999974120,-2.402670133355307,-1.147308125656551,19.246813026971669
50024,50.022999999974118,-2.357808556285717,-1.120840873817695,19.191854336067909
50025,50.023999999974116,-2.313607005602791,-1.094912436951552,19.136948752085328
50026,50.024999999974114,-2.270061043954366,-1.069514313120889,19.082100379400945
50027,50.025999999974111,-2.227166091114825,-1.044638048692281,19.027313165480312
50028,50.026999999974109,-2.184917430804652,-1.020275241656572,18.972590905305001
50029,50.027999999974107,-2.143310217383106,-.996417544772760,18.917937245728346
50030,50.028999999974104,-2.102339482412347,-.973056668540207,18.863355689757562
50031,50.029999999974102,-2.062000141091568,-.950184384004063,18.808849600760681
50032,50.030999999974100,-2.022286998559920,-.927792525398715,18.754422206596868
50033,50.031999999974097,-1.983194756067237,-.905872992634084,18.700076603668961
50034,50.032999999974095,-1.944718017011749,-.884417753629496,18.645815760897253
50035,50.033999999974093,-1.906851292844192,-.863418846499830,18.591642523613679
50036,50.034999999974090,-1.869589008837887,-.842868381598575,18.537559617375837
50037,50.035999999974088,-1.832925509724565,-.822758543422380,18.483569651700339
50038,50.036999999974086,-1.796855065195849,-.803081592381588,18.429675123715214
50039,50.037999999974083,-1.761371875270500,-.783829866441217,18.375878421731208
50040,50.038999999974081,-1.726470075527660,-.764995782636738,18.322181828731960
50041,50.039999999974079,-1.692143742206488,-.746571838468956,18.268587525783172
50042,50.040999999974076,-1.658386897172703,-.728550613182214,18.215097595361005
50043,50.041999999974074,-1.625193512752702,-.710924768930051,18.161714024600055
50044,50.042999999974072,-1.592557516436014,-.693687051832381,18.108438708461357
50045,50.043999999974069,-1.560472795446994,-.676830292928178,18.055273452820973
50046,50.044999999974067,-1.528933201186744,-.660347409027546,18.002219977479797
50047,50.045999999974065,-1.497932553546371,-.644231403467006,17.949279919095325
50048,50.046999999974062,-1.467464645092763,-.628475366771717,17.896454834036156
50049,50.047999999974060,-1.437523245128180,-.613072477228278,17.843746201160123
50050,50.048999999974058,-1.408102103625009,-.598016001371668,17.791155424516983
50051,50.049999999974055,-1.379194955037132,-.583299294389805,17.738683835976666
50052,50.050999999974053,-1.350795521989420,-.568915800449100,17.686332697784110
50053,50.051999999974051,-1.322897518846914,-.554859052944320,17.634103205041807
50054,50.052999999974048,-1.295494655165346,-.541122674675977,17.581996488121163
50055,50.053999999974046,-1.268580639024675,-.527700377958368,17.530013615003892
50056,50.054999999974044,-1.242149180247386,-.514585964661330,17.478155593554590
50057,50.055999999974041,-1.216193993503330,-.501773326188670,17.426423373725804
50058,50.056999999974039,-1.190708801302935,-.489256443396156,17.374817849696772
50059,50.057999999974037,-1.165687336880639,-.477029386451873,17.323339861947193
50060,50.058999999974034,-1.141123346970450,-.465086314641671,17.271990199267279
50061,50.059999999974032,-1.117010594475541,-.453421476122344,17.220769600705406
50062,50.060999999974030,-1.093342861033836,-.442029207625106,17.169678757454729
50063,50.061999999974027,-1.070113949481538,-.430903934111859,17.118718314680031
50064,50.062999999974025,-1.047317686216596,-.420040168386656,17.067888873286204
50065,50.063999999974023,-1.024947923464097,-.409432510664699,17.017190991629644
50066,50.064999999974020,-1.002998541445592,-.399075648101146,16.966625187173950
50067,50.065999999974018,-.981463450454372,-.388964354281897,16.916191938091231
50068,50.066999999974016,-.960336592838716,-.379093488678504,16.865891684810354
50069,50.067999999974013,-.939611944895127,-.369457996069233,16.815724831513474
50070,50.068999999974011,-.919283518673577,-.360052905928283,16.765691747582164
50071,50.069999999974009,-.899345363696792,-.350873331785056,16.715792768994412
50072,50.070999999974006,-.879791568595578,-.341914470555347,16.666028199673839
50073,50.071999999974004,-.860616262662197,-.333171601846227,16.616398312792370
50074,50.072999999974002,-.841813617323802,-.324640087236349,16.566903352027648
50075,50.073999999973999,-.823377847537909,-.316315369533341,16.517543532776443
50076,50.074999999973997,-.805303213111878,-.308192972009883,16.468319043325280
50077,50.075999999973995,-.787584019948377,-.300268497620020,16.419230045979511
50078,50.076999999973992,-.770214621218761,-.292537628197189,16.370276678152035
50079,50.077999999973990,-.753189418466305,-.284996123635401,16.321459053412820
50080,50.078999999973988,-.736502862641186,-.277639821054953,16.272777262500433
50081,50.079999999973985,-.720149455069121,-.270464633953994,16.224231374296657
50082,50.080999999973983,-.704123748355518,-.263466551347217,16.175821436765368
50083,50.081999999973981,-.688420347226991,-.256641636892908,16.127547477856737
50084,50.082999999973978,-.673033909312057,-.249986028009515,16.079409506377843
50085,50.083999999973976,-.657959145862832,-.243495934982883,16.031407512830750
50086,50.084999999973974,-.643190822419476,-.237167640065214,15.983541470219061
50087,50.085999999973971,-.628723759419165,-.230997496566813,15.935811334823992
50088,50.086999999973969,-.614552832751290,-.224981927941588,15.888217046950917
50089,50.087999999973967,-.600672974260597,-.219117426867286,15.840758531647365
50090,50.088999999973964,-.587079172199930,-.213400554321342,15.793435699393404
50091,50.089999999973962,-.573766471634226,-.207827938653238,15.746248446765328
50092,50.090999999973960,-.560729974797372,-.202396274654190,15.699196657073546
50093,50.091999999973957,-.547964841403510,-.197102322624968,15.652280200975538
50094,50.092999999973955,-.535466288914356,-.191942907442589,15.605498937064731
50095,50.093999999973953,-.523229592764054,-.186914917626633,15.558852712436126
50096,50.094999999973950,-.511250086543064,-.182015304405841,15.512341363229478
50097,50.095999999973948,-.499523162142562,-.177241080785685,15.465964715150802
50098,50.096999999973946,-.488044269860793,-.172589320617495,15.419722583972991
50099,50.097999999973943,-.476808918472775,-.168057157669777,15.373614776016259
50100,50.098999999973941,-.465812675264758,-.163641784702251,15.327641088609148
50101,50.099999999973939,-.455051166034773,-.159340452543166,15.281801310530790
50102,50.100999999973936,-.444520075060603,-.155150469170391,15.236095222435099
50103,50.101999999973934,-.434215145036468,-.151069198796756,15.190522597257553
50104,50.102999999973932,-.424132176979693,-.147094060960110,15.145083200605216
50105,50.103999999973929,-.414267030108584,-.143222529618512,15.099776791130594
50106,50.104999999973927,-.404615621692734,-.139452132250963,15.054603120889947
50107,50.105999999973925,-.395173926876919,-.135780448964064,15.009561935686625
50108,50.106999999973922,-.385937978479755,-.132205111604950,14.964652975400002
50109,50.107999999973920,-.376903866768213,-.128723802880847,14.919875974300536
50110,50.108999999973918,-.368067739209106,-.125334255485553,14.875230661351504
50111,50.109999999973915,-.359425800198600,-.122034251233156,14.830716760497893
