i,t,y1,y2,y3
5002,50.009999999998620,10.391941540481305,-.910432733022373,9.223922086021995
5003,50.019999999998618,10.306102368975095,-.808656970496349,9.664959338993901
5004,50.029999999998616,10.214777668137437,-.707564054742211,10.118021826539749
5005,50.039999999998614,10.117858397290838,-.607210816102878,10.582263464818608
5006,50.049999999998612,10.015245347389824,-.507655242353204,11.056677442066604
5007,50.059999999998610,9.906850799355274,-.408956374369299,11.540088443182833
5008,50.069999999998608,9.792600251797634,-.311174184629157,12.031146379120862
5009,50.079999999998606,9.672434201155216,-.214369437897647,12.528321973632599
5010,50.089999999998604,9.546309953684940,-.118603533635342,13.029904569949537
5011,50.099999999998602,9.414203445105096,-.023938329893846,13.534002519777189
5012,50.109999999998600,9.276111040116399,.069564051280033,14.038546504459978
5013,50.119999999998598,9.132051280651728,.161841436613682,14.541296111450938
5014,50.129999999998596,8.982066548677210,.252831831906171,15.039849946718777
5015,50.139999999998594,8.826224606851726,.342473668851809,15.531659504358721
5016,50.149999999998592,8.664619978519974,.430706067008685,16.014046938022435
5017,50.159999999998590,8.497375127537879,.517469109136993,16.484226785257039
5018,50.169999999998588,8.324641398470970,.602704127732321,16.939331586832019
5019,50.179999999998586,8.146599678909929,.686354000184709,17.376441221103093
5020,50.189999999998584,7.963460748125820,.768363449617503,17.792615642005707
5021,50.199999999998582,7.775465280112082,.848679348114018,18.184930573070389
5022,50.209999999998580,7.582883474250703,.927251018738391,18.550515574560269
5023,50.219999999998578,7.386014293355024,1.004030532513453,18.886593772851008
5024,50.229999999998576,7.185184296573492,1.078972996345845,19.190522427348412
5025,50.239999999998574,6.980746063410638,1.152036827798366,19.459833417455911
5026,50.249999999998572,6.773076214689254,1.223184012611212,19.692272666838900
5027,50.259999999998570,6.562573046336233,1.292380340973915,19.885837490066010
5028,50.269999999998568,6.349653802069502,1.359595618751809,20.038810851852887
5029,50.279999999998566,6.134751621006883,1.424803850174422,20.149791574022721
5030,50.289999999998564,5.918312205507696,1.487983388893963,20.217719610262645
5031,50.299999999998562,5.700790262800547,1.549117054811710,20.241895631853840
5032,50.309999999998560,5.482645780783067,1.608192214636482,20.221994324558189
5033,50.319999999998558,5.264340203491841,1.665200824766860,20.158070981412052
5034,50.329999999998556,5.046332574896331,1.720139435759175,20.050561180192719
5035,50.339999999998554,4.829075720720812,1.773009158336038,19.900273548392523
5036,50.349999999998552,4.613012536892366,1.823815591584126,19.708375832597792
5037,50.359999999998550,4.398572450001729,1.872568714663522,19.476374693159318
5038,50.369999999998548,4.186168109996066,1.919282743983785,19.206089829556625
5039,50.379999999998546,3.976192368435728,1.963975958375465,18.899623198771053
5040,50.389999999998544,3.769015587350869,2.006670495284248,18.559324211932928
5041,50.399999999998542,3.564983314392052,2.047392121425736,18.187751879251856
5042,50.409999999998540,3.364414349976222,2.086169981653414,17.787634917819908
5043,50.419999999998538,3.167599221888710,2.123036330005994,17.361830841617337
5044,50.429999999998536,2.974799072701989,2.158026247012149,16.913285020376136
5045,50.439999999998534,2.786244955768301,2.191177347343939,16.444990628084032
5046,50.449999999998532,2.602137526741861,2.222529481831093,15.959950308430273
5047,50.459999999998530,2.422647109832187,2.252124437686044,15.461140269896575
5048,50.469999999998528,2.247914111460796,2.280005640555343,14.951477394389872
5049,50.479999999998526,2.078049748797177,2.306217861719682,14.433789807166594
5050,50.489999999998524,1.913137056827952,2.330806933425515,13.910791218741943
5051,50.499999999998522,1.753232135145704,2.353819474960009,13.385059217192000
5052,50.509999999998520,1.598365594459318,2.375302631690765,12.859017566450156
5053,50.519999999998518,1.448544162812122,2.395303828894856,12.334922456486835
5054,50.529999999998516,1.303752412503327,2.413870541809077,11.814852557128825
5055,50.539999999998514,1.163954570578529,2.431050082954450,11.300702650123199
5056,50.549999999998512,1.029096378313448,2.446889407430737,10.794180554299789
5057,50.559999999998510,.899106968188894,2.461434936546999,10.296807015917553
5058,50.569999999998508,.773900730278969,2.474732399856556,9.809918209406485
5059,50.579999999998506,.653379143597017,2.486826695401797,9.334670481157215
5060,50.589999999998504,.537432551630690,2.497761767747535,8.872046968860612
5061,50.599999999998502,.425941864934439,2.507580503191147,8.422865739085521
5062,50.609999999998500,.318780177141731,2.516324641382679,7.987789104192731
5063,50.619999999998498,.215814284038003,2.524034702466619,7.567333804274734
5064,50.629999999998496,.116906098346241,2.530749928766907,7.161881768689617
5065,50.639999999998494,.021913955585661,2.536508239975044,6.771691203232892
5066,50.649999999998492,-.069306191248526,2.541346200764838,6.396907781607922
5067,50.659999999998490,-.156899688375323,2.545298999743236,6.037575752406783
5068,50.669999999998488,-.241012207739183,2.548400438651548,5.693648804338099
5069,50.679999999998486,-.321788880360524,2.550682930752112,5.365000562208141
