i,t,y1,y2,y3
5002,50.009999999998620,-1.211530495312782,-1.991459858861744,4.425518622072619
5003,50.019999999998618,-1.232567567085790,-2.003680395847383,4.421187821008907
5004,50.029999999998616,-1.253546763388325,-2.016111017311048,4.417391605430377
5005,50.039999999998614,-1.274464201464385,-2.028751125281051,4.414136122440174
5006,50.049999999998612,-1.295315758644253,-2.041600081764844,4.411427589956241
5007,50.059999999998610,-1.316097064795987,-2.054657206312180,4.409272296316359
5008,50.069999999998608,-1.336803494735868,-2.067921773502576,4.407676599705912
5009,50.079999999998606,-1.357430160602830,-2.081393010356691,4.406646927400597
5010,50.089999999998604,-1.377971904202559,-2.095070093671299,4.406189774815998
5011,50.099999999998602,-1.398423289327604,-2.108952147277572,4.406311704355691
5012,50.109999999998600,-1.418778594060585,-2.123038239222479,4.407019344049255
5013,50.119999999998598,-1.439031803068305,-2.137327378873158,4.408319385971305
5014,50.129999999998596,-1.459176599895410,-2.151818513944224,4.410218584432373
5015,50.139999999998594,-1.479206359267035,-2.166510527448048,4.412723753932203
5016,50.149999999998592,-1.499114139410760,-2.181402234568155,4.415841766865766
5017,50.159999999998590,-1.518892674409131,-2.196492379455974,4.419579550972031
5018,50.169999999998588,-1.538534366594931,-2.211779631951329,4.423944086515267
5019,50.179999999998586,-1.558031279002395,-2.227262584227143,4.428942403188421
5020,50.189999999998584,-1.577375127888602,-2.242939747358993,4.434581576727878
5021,50.199999999998582,-1.596557275340360,-2.258809547820297,4.440868725228651
5022,50.209999999998580,-1.615568721983021,-2.274870323904064,4.447811005148891
5023,50.219999999998578,-1.634400099808817,-2.291120322072311,4.455415606992338
5024,50.229999999998576,-1.653041665143550,-2.307557693234444,4.463689750657220
5025,50.239999999998574,-1.671483291771667,-2.324180488956078,4.472640680439891
5026,50.249999999998572,-1.689714464241087,-2.340986657599988,4.482275659681366
5027,50.259999999998570,-1.707724271370451,-2.357974040401102,4.492601965044803
5028,50.269999999998568,-1.725501399982829,-2.375140367477679,4.503626880411876
5029,50.279999999998566,-1.743034128891334,-2.392483253781055,4.515357690385903
5030,50.289999999998564,-1.760310323163527,-2.410000194986630,4.527801673389569
5031,50.299999999998562,-1.777317428692954,-2.427688563328995,4.540966094345073
5032,50.309999999998560,-1.794042467107664,-2.445545603384444,4.554858196924560
